reallocate_stock,KLICKR,LOWCOL,MFSALM,MGILCS,SFCLWR,SFSALM,SKAMAN,UPCLWR,UPPCOL,UPSALM,WILLAM,YAKIMA,BWSALM
Cottonwood,,,7,1224,3,,,4,8,100,,4,0
Wallowa-WA,,,7,1224,3,,,4,8,100,,4,0
Deschutes,,,4,233,,3,,,5,11,1,5,0
Dworshak,,,,158,4358,,,86,,7,,1,0
Dwor-C,,,,158,4358,,,86,,7,,1,0
Dwor-S,,,,158,4358,,,86,,7,,1,0
EF Salmon,1,,1,61,6,,,2,3,54,,,0
Hood River,1,10,,1,1,,2,,,1,,,0
Imnaha,,,1,333,,1,,1,2,15,,1,0
Lyons Ferry,1,,,397,1,,,2,166,14,,1,0
Methow,,,,1,,,,,3,1,,,0
Okanogan,,,,26,3,,,,20,9,,,0
Omak,,,,10,,,,,3,,,,0
Oxbow,,,3,315,1,,,1,16,677,,,0
Pahsimeroi,,,13,630,22,,,1,19,1358,,6,0
Sawtooth,,,4,264,1,,,,6,1167,,1,0
SF Clearwater,,,,10,331,,,1,,1,,,0
Skamania,,1,,,,,486,,,,1,,0
Touchet,,,,36,,,,,2,5,,,0
Tucannon,,,,61,1,1,,,7,1,,,0
Twisp,,,,6,,,,,1,,,,0
Umatilla,,,2,93,,,,,5,14,,2,0
Upper Salmon,,,,113,149,,,11,,30,,1,0
Wallowa,,,5,1233,1,1,,3,21,94,,5,0
Wallowa-OR,,,5,1233,1,1,,3,21,94,,5,0
Wells,,,2,170,,1,,1,113,38,,2,0
Wenatchee,,,,11,,,,,6,1,,,0
Winthrop,,,,13,,,,,10,2,,1,0
